video_id,title,vimeo_link,final_category,final_category_slug,was_overridden
447149782,Kids Fit Hiit | Heat Up & Repeat | with Tammy,https://vimeo.com/447149782/24102a2a64,Kids HIIT Funhouse,kids-hiit-funhouse,True
421505270,Manly Monday | with Susie Q,https://vimeo.com/421505270/1cc3068528,HIIT Upper Body,hiit-upper-body,True
411739083,Spotlight Saturday | Hiit Class | with Susie Q,https://vimeo.com/411739083/755d5da07d,HIIT Total Body,hiit-total-body,True
409194283,Suntan Saturday | Hiit Training | with Susie Q | 4/18/20,https://vimeo.com/409194283/bb7781ea98,HIIT Total Body,hiit-total-body,True
408642549,At Home | Hiit Training | with Susie Q | 4/17/20,https://vimeo.com/408642549/e61d245c21,HIIT Total Body,hiit-total-body,True
408389922,At Home | Hiit Training | with Susie Q | 4/16/20,https://vimeo.com/408389922/57a8256a2a,HIIT Total Body,hiit-total-body,True
