category_slug,title,video_id,vimeo_link,thumbnail_url
hiit56-lower,"Hiit 56 | Lower Body Mash-Up | with Pam, GiGi, & Susie Q | 09/28/20",461634417,https://vimeo.com/461634417/bf7c257ef2,https://i.vimeocdn.com/video/963956392-331001658be9304dbe40a1ddf47802f0c6d0c3391bbcf08757f794377edd5881-d_295x166?region=us
hiit56-specials,Hiit 56 | Saturday Mash-Up | Total Body | with Susie Q | 9/26/20,461634180,https://vimeo.com/461634180/63371c7124,https://i.vimeocdn.com/video/963955701-a95d2b8fca29cf37ee32f9bbb6c9cac7a8aa6bd05b5ce1680b8793a4826cbb91-d_295x166?region=us
kids,Kids At Home Fit Funhouse | ABs Birthday - It's Coach Tammy's Birthday | with Coach Tammy,461385371,https://vimeo.com/461385371/8f9e505ecf,https://i.vimeocdn.com/video/963280706-9fcab109bfd2283bc35377f4c12104691d6fdf20cf36a5816867a5da3eabbd68-d_295x166?region=us
heavy-hiit,"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/21/20",461384805,https://vimeo.com/461384805/d159f9ac43,https://i.vimeocdn.com/video/963279944-5f8cab23d3da0e542e7f02cf7104e7ca0af568e82d43159dd8ea494ca011aac9-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Advanced | with Trisha | 9/24/20,461384193,https://vimeo.com/461384193/ee42d6c32a,https://i.vimeocdn.com/video/963279138-7ec95b7b8de3b55396471915fb43a361fcdcce2fbe3e2fd5e6a80ec99aa961e3-d_295x166?region=us
hiit56-lower,Hiit 56 | Lower Body | with Susie Q | 9/24/20,461382765,https://vimeo.com/461382765/372ee825cd,https://i.vimeocdn.com/video/963277815-f33b665f9649a69cde91727fc7b9e4857212c464b9e354936a79a65069be01b9-d_295x166?region=us
hiit-mobility,Hiit Mobility | with Alberto | 9/23/20,461008796,https://vimeo.com/461008796/2aa9681046,https://i.vimeocdn.com/video/962677117-0d8df93d6fa15912dfb31e368faee3224447642ef90a959e6a003baa879f9fcf-d_295x166?region=us
hiit-21,Hiit 21 | Massive Calorie Blast | with Pam | 9/23/20,460964637,https://vimeo.com/460964637/4dbf1ce037,https://i.vimeocdn.com/video/962610506-a5e3307b458f003bf9b83816f51ccdedb206432cb6bd8cb8f9ba799e8e283715-d_295x166?region=us
kids,Kids Hiit Funhouse | Tornado Tuesday | with Coach Tammy,460707705,https://vimeo.com/460707705/af65b0594a,https://i.vimeocdn.com/video/962612998-32e37b8771c441dc9ff204a7a7f44f339f191a4f03c98a4e6bfc21e97784274f-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/22/20,460663016,https://vimeo.com/460663016/d11001cef8,https://i.vimeocdn.com/video/962110814-eb17333ca42282057a519d52736e5dd1ec978b2d1c08bf6d5d1e15ea5d81ea8e-d_295x166?region=us
hiit-kickboxing,Hiit Kickboxing | Beginner & Intermediate | with Trisha | 9/22/20,460540577,https://vimeo.com/460540577/9a5c68f226,https://i.vimeocdn.com/video/961909681-3ee6fefc887350571474eaf0367c4b3bb9bc8a607397e566a1f745fc6169f019-d_295x166?region=us
hiit56-upper,Hiit 56 | Upper Body | with Susie Q | 9/22/20,460538141,https://vimeo.com/460538141/487a3786f4,https://i.vimeocdn.com/video/961905607-0109714fa05c2e47ebd4e41aabcd0cbea3c63241ae2f11e9ba17f545160d23f9-d_295x166?region=us
