video_id,title,vimeo_link,final_category,final_category_slug,was_folded_archives
432562557,Hiit Class | with Susie Q | 6/2520,https://vimeo.com/432562557/d99f1f0bfc,HIIT,hiit,True
432483109,Hiit Class | with Susie Q | 6/25/20,https://vimeo.com/432483109/e3fd23bdc1,HIIT,hiit,True
431630833,Hiit Class | with Susie Q | 6/23/20,https://vimeo.com/431630833/5b0e4a1a28,HIIT,hiit,True
431471557,Hiit Class | with Susie Q | 6/22/20,https://vimeo.com/431471557/00b4db424d,HIIT,hiit,True
430999747,Hiit Class | A CLEAN SLATE SATURDAY | with Susie Q,https://vimeo.com/430999747/9bb100f7df,HIIT,hiit,True
430709114,Hiit Class | with Susie Q | 6/19/20,https://vimeo.com/430709114/0cd3f854a4,HIIT,hiit,True
430348857,Hiit Class | with Susie Q | 6/18/20,https://vimeo.com/430348857/3970f1c90e,HIIT,hiit,True
429645993,Hiit Class | THROWBACK TUESDAY - How It All Started | with Susie Q,https://vimeo.com/429645993/50ff662f56,HIIT,hiit,True
429261584,Hiit Class | with Susie Q | 6/15/20,https://vimeo.com/429261584/9b0b548946,HIIT,hiit,True
428775896,Hiit Class | PEACE & LOVE SATURDAY | with Susie Q,https://vimeo.com/428775896/24d1f41975,HIIT,hiit,True
428477351,Hiit Class | with Susie Q | 6/12/20,https://vimeo.com/428477351/880004788d,HIIT,hiit,True
428095914,Hiit Class | with Susie Q | 6/11/20,https://vimeo.com/428095914/73ddbb3d04,HIIT,hiit,True
427331618,Hiit Class | with Susie Q | 6/9/20,https://vimeo.com/427331618/84aed4f8ac,HIIT,hiit,True
426980486,Hiit Class | with Susie Q | 6/8/20,https://vimeo.com/426980486/2276bc3916,HIIT,hiit,True
426517705,Hiit Class | YOU vs US | with Susie Q,https://vimeo.com/426517705/ab82bf8ee5,HIIT,hiit,True
426210454,Hiit Class | with Susie Q | 6/5/20,https://vimeo.com/426210454/f108eadc1e,HIIT,hiit,True
425686872,Hiit Class | with Susie Q | 6/4/20,https://vimeo.com/425686872/a290d4d2e7,HIIT,hiit,True
424934255,Hiit Class | with Susie Q | 6/2/20,https://vimeo.com/424934255/2d96f69d38,HIIT,hiit,True
424652308,Hiit Class | with Susie Q | 6/1/20,https://vimeo.com/424652308/e8b4e04099,HIIT,hiit,True
424304232,Hiit Class | BLOOM INTO JUNE | with Susie Q,https://vimeo.com/424304232/89277060ed,HIIT,hiit,True
423790239,Hiit Class | with Susie Q | 5/29/20,https://vimeo.com/423790239/54e626837b,HIIT,hiit,True
423574365,Hiit Class | with Susie Q | 5/28/20,https://vimeo.com/423574365/0f33fa1448,HIIT,hiit,True
422747934,Hiit Class | with Susie Q | 5/26/20,https://vimeo.com/422747934/1a95b36020,HIIT,hiit,True
422382800,Hiit Class | MEMORIAL DAY | with Susie Q,https://vimeo.com/422382800/c690dc6bc1,HIIT,hiit,True
421902539,Hiit Class | UNITED WE SWEAT | with Susie Q,https://vimeo.com/421902539/7fb053e056,HIIT,hiit,True
421478206,Hiit Class | with Susie Q | 5/22/20,https://vimeo.com/421478206/c4ef0318b2,HIIT,hiit,True
421472005,HIIT Class | SEXY SATURDAY | with Susie Q,https://vimeo.com/421472005/8abe54993b,HIIT,hiit,True
420992082,Hiit Class | with Susie Q | 5/21/20,https://vimeo.com/420992082/1c0727b8a7,HIIT,hiit,True
420287825,Hiit Class | with Susie Q | 5/19/20,https://vimeo.com/420287825/78763d9889,HIIT,hiit,True
419817998,Hiit Class | with Susie Q | 5/18/20,https://vimeo.com/419817998/176b580acc,HIIT,hiit,True
418392724,Hiit Class | with Susie Q | 5/14/20,https://vimeo.com/418392724/47f34888a0,HIIT,hiit,True
417559591,Hiit Class | with Susie Q | 5/12/20,https://vimeo.com/417559591/765cd318cd,HIIT,hiit,True
417156410,Hiit Class | with Susie Q | 5/11/20,https://vimeo.com/417156410/c0369b0890,HIIT,hiit,True
416669317,Hiit Class | SLUMBER PARTY SATURDAY | with Susie Q,https://vimeo.com/416669317/c21e741c7a,HIIT,hiit,True
416321166,Hiit Class | with Susie Q | 5/8/20,https://vimeo.com/416321166/c41284b45e,HIIT,hiit,True
