title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
Hiit Beginner | Total Body | with Alberto | 2/12/21,511580703,https://vimeo.com/511580703/86f30771d7,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 56 | Total Body | with Abbie | 2/11/21,511396970,https://vimeo.com/511396970/39121688c0,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 56 | Upper Body | with & Susie Q | 2/9/21,510338636,https://vimeo.com/510338636/72ba1a7666,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Abbie | 2/8/21,509796232,https://vimeo.com/509796232/8b1db52059,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Beginner | Total Body | with Alberto | 2/5/21,509261162,https://vimeo.com/509261162/5bb96109ed,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 56 | Total Body | with Abbie | 2/4/21,508413427,https://vimeo.com/508413427/4f7e95348e,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 2/3/21,508125098,https://vimeo.com/508125098/9227229d7e,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Upper Body | with & Susie Q | 2/2/21,507979960,https://vimeo.com/507979960/d470e94347,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Abbie | 2/1/21,507109428,https://vimeo.com/507109428/920fd3b0df,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 56 | Total Body | with Abbie | 1/28/21,505722277,https://vimeo.com/505722277/0448c7e196,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 1/27/21,505215132,https://vimeo.com/505215132/0ebffd1a24,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Upper Body | with Susie Q | 1/26/21,505044559,https://vimeo.com/505044559/071bc86aad,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Abbie | 1/25/21,504362032,https://vimeo.com/504362032/208816b374,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Beginner | Total Body | with Alberto | 1/22/21,503459215,https://vimeo.com/503459215/aee198fae0,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 56 | Total Body | with Abbie | 1/21/21,503161335,https://vimeo.com/503161335/384d8ee0da,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 1/20/21,502824003,https://vimeo.com/502824003/83ac9c5037,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Upper Body | with Susie Q | 1/19/21,502239404,https://vimeo.com/502239404/710519b6a5,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Abbie | 1/18/21,501950410,https://vimeo.com/501950410/408797560e,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 56 | Season 2 Premiere | New Year New You! | with Susie Q | 1/9/21,498738636,https://vimeo.com/498738636/3195f693aa,HIIT,HIIT,hiit,False,False
Hiit 56 | Season 2 Premiere | New Year New You! | with Susie Q | 1/9/21,498663068,https://vimeo.com/498663068/8db48a3acb,HIIT,HIIT,hiit,False,False
Hiit 56 | HAPPY THANKSGIVING | Total Body | with Susie Q,484284856,https://vimeo.com/484284856/b282720fdd,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
"Hiit 56 | Total Body | Freak Week Monster Mash-up | with Pam, Gi Gi, & Susie Q | Halloween",474183012,https://vimeo.com/474183012/bcd9cdeba6,HIIT Total Body,HIIT Total Body,hiit-total-body,False,False
Hiit 56 | Upper Body | with GiGi | 10/30/20,473975832,https://vimeo.com/473975832/248da03e51,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Upper Body | with Gi Gi | 10/30/20,473881273,https://vimeo.com/473881273/a9ba7439a3,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
HIIT 21 | MASSIVE CALORIE BLAST | with Pam | 10/28/20,473515084,https://vimeo.com/473515084,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/29/20,473414683,https://vimeo.com/473414683/aa9f303426,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Beginner | Total Body | with Alberto | 10/28/20,473011315,https://vimeo.com/473011315/45967ef79b,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Kids Hiit Funhouse | Costume Theme | with Coach Tammy,473009176,https://vimeo.com/473009176/d77da582ed,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Kids Hiit Funhouse | Animal Theme | with Coach Tammy,472743480,https://vimeo.com/472743480/744f0a67d7,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit 56 | Upper Body | with Susie Q | 10/27/20,472567354,https://vimeo.com/472567354/00abb05fa3,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit 56 | Lower Body | with Gi Gi | 10/26/20,472210447,https://vimeo.com/472210447/a381ca683b,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
HIIT 21 | MASSIVE CALORIE BLAST | 7 Minute Edition | with Pam | 10/25/20,471924795,https://vimeo.com/471924795/0b36b43389,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Get Out & Vote Saturday: The Sequel | with Susie Q | 10/24/20,471787263,https://vimeo.com/471787263/cc8d027457,HIIT,HIIT,hiit,False,False
Stretch & Recovery | with Alberto | 10/23/20,471716712,https://vimeo.com/471716712/e68e95a596,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
Hiit 56 | Get Out & Vote Saturday: The Sequel | with Susie Q | 10/24/20,471715598,https://vimeo.com/471715598/ee0093ea1c,HIIT,HIIT,hiit,False,False
Hiit 56 | Upper Body | with Gi Gi | 10/23/20,471413491,https://vimeo.com/471413491/1f26560f6d,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Kids Hiit Funhouse | Superhero the Sequel | with Coach Tammy,471181207,https://vimeo.com/471181207/866a4330bf,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
